row_index,row_name,row_type,mean_abs_shap
19,Reverse Repurchase Rate (RRP),macro,0.017063855738015263
1,WilliamsR,technical,0.016623604632586646
18,Purchasing Power of Peso,macro,0.014067947556604848
8,CMO,technical,0.012902239185763165
7,CCI,technical,0.0123822129770042
15,Oil,macro,0.007532150607923995
12,CMFI,technical,0.0070816156924320235
3,EMA,technical,0.006157753943530224
2,SMA,technical,0.006081429161777123
6,TripleEMA,technical,0.0057748925656324
4,WMA,technical,0.005245283576991824
9,MACD,technical,0.004781795523696814
5,HMA,technical,0.004675438762670296
16,Gold,macro,0.004465227396824077
14,PSI,technical,0.0042228310068209395
17,Inflation Rate,macro,0.004080543445406875
10,PPO,technical,0.0037190884183223713
13,DMI,technical,0.002580003455007045
0,RSI,technical,0.0025135522074265283
11,ROC,technical,0.002225551214007737
