row_index,row_name,row_type,mean_abs_shap
1,WilliamsR,technical,0.016082561912465633
18,Purchasing Power of Peso,macro,0.008656230644611091
19,Reverse Repurchase Rate (RRP),macro,0.008448034394048325
7,CCI,technical,0.007357256267314938
8,CMO,technical,0.007174353347669923
15,Oil,macro,0.004306617214312721
12,CMFI,technical,0.004201917510495908
6,TripleEMA,technical,0.0038968183431586567
2,SMA,technical,0.0038913339128167955
3,EMA,technical,0.0038565278108124326
4,WMA,technical,0.0031765394508839863
14,PSI,technical,0.0031504230586953
9,MACD,technical,0.003111097208616134
5,HMA,technical,0.0029759057552992967
16,Gold,macro,0.002680444540762418
17,Inflation Rate,macro,0.0025681773296562936
0,RSI,technical,0.002315813301173692
10,PPO,technical,0.0022716121724523693
13,DMI,technical,0.0017977160036515727
11,ROC,technical,0.001372923620662784
