class_name,row_index,row_name,row_type,mean_abs_shap
Buy,0,RSI,technical,0.005317913779476176
Buy,1,WilliamsR,technical,0.03175122738375042
Buy,2,SMA,technical,0.007335184306490561
Buy,3,EMA,technical,0.0072543246695306604
Buy,4,WMA,technical,0.005445052070469293
Buy,5,HMA,technical,0.005938638882190994
Buy,6,TripleEMA,technical,0.00947430707358213
Buy,7,CCI,technical,0.015899391965220916
Buy,8,CMO,technical,0.013189875132036186
Buy,9,MACD,technical,0.006392937740813523
Buy,10,PPO,technical,0.005634570610113555
Buy,11,ROC,technical,0.002364699009068166
Buy,12,CMFI,technical,0.008141744812299786
Buy,13,DMI,technical,0.002712238345337565
Buy,14,PSI,technical,0.005540161619413199
Buy,15,Oil,macro,0.006275198061383093
Buy,16,Gold,macro,0.0039253272393975185
Buy,17,Inflation Rate,macro,0.0040408260566503415
Buy,18,Purchasing Power of Peso,macro,0.008725475062031479
Buy,19,Reverse Repurchase Rate (RRP),macro,0.009313001449732307
Hold,0,RSI,technical,0.0018219466729294202
Hold,1,WilliamsR,technical,0.00975340580756594
Hold,2,SMA,technical,0.0032815082042419405
Hold,3,EMA,technical,0.0034068878000241888
Hold,4,WMA,technical,0.002824374707918753
Hold,5,HMA,technical,0.00248206867736472
Hold,6,TripleEMA,technical,0.003493537585833716
Hold,7,CCI,technical,0.004638827607377653
Hold,8,CMO,technical,0.005198584764384417
Hold,9,MACD,technical,0.0022960632253313895
Hold,10,PPO,technical,0.0015664174435819453
Hold,11,ROC,technical,0.0011893108875206573
Hold,12,CMFI,technical,0.0029922788590609644
Hold,13,DMI,technical,0.001662333085198071
Hold,14,PSI,technical,0.00286237166423201
Hold,15,Oil,macro,0.003982828554796771
Hold,16,Gold,macro,0.00254886998041305
Hold,17,Inflation Rate,macro,0.0024759876475864808
Hold,18,Purchasing Power of Peso,macro,0.008662916713008145
Hold,19,Reverse Repurchase Rate (RRP),macro,0.00827479757266796
Sell,0,RSI,technical,0.005410322695007561
Sell,1,WilliamsR,technical,0.029569959324029848
Sell,2,SMA,technical,0.00706855191362706
Sell,3,EMA,technical,0.007404232285319571
Sell,4,WMA,technical,0.005239232789326327
Sell,5,HMA,technical,0.0056277710193447196
Sell,6,TripleEMA,technical,0.009668575883703122
Sell,7,CCI,technical,0.016681356826104405
Sell,8,CMO,technical,0.013107615047176847
Sell,9,MACD,technical,0.006138781192635179
Sell,10,PPO,technical,0.00537541907425369
Sell,11,ROC,technical,0.002613898065123408
Sell,12,CMFI,technical,0.009130420117946963
Sell,13,DMI,technical,0.0029591930363474066
Sell,14,PSI,technical,0.005615312448414566
Sell,15,Oil,macro,0.0066276873626300884
Sell,16,Gold,macro,0.003949540061914926
Sell,17,Inflation Rate,macro,0.004382815123262465
Sell,18,Purchasing Power of Peso,macro,0.010276573558132137
Sell,19,Reverse Repurchase Rate (RRP),macro,0.009141085270786485
