asset,scheme,scheme_id,sample_index,date,pred_class_name,true_class_name,correct,row_index,row_name,row_type,mean_abs_shap,group,symbol
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,1,WilliamsR,technical,0.0026681146839109713,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,17,Inflation Rate,macro,0.0015976574217347662,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.001315297089786327,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.0012945832517289092,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,16,Gold,macro,0.0006291909556608744,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,3,EMA,technical,0.0005027319507917127,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,7,CCI,technical,0.0004910192197712604,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,15,Oil,macro,0.0004885010963334935,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,2,SMA,technical,0.00047956944872566963,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,6,TripleEMA,technical,0.00044967161338718145,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,8,CMO,technical,0.0004296716377211851,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,4,WMA,technical,0.0004192548867649748,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,5,HMA,technical,0.00035528690314095,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,12,CMFI,technical,0.0002709967719511042,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,14,PSI,technical,0.000249568915069176,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,0,RSI,technical,0.0002275720283066107,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,9,MACD,technical,0.00018837792367776274,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,10,PPO,technical,0.00011836669355034247,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,11,ROC,technical,0.00011279950351763545,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2607,2023-01-25,Hold,Hold,True,13,DMI,technical,4.1776795296755156e-05,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2623,2023-02-16,Hold,Hold,True,1,WilliamsR,technical,0.002581208916265609,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2623,2023-02-16,Hold,Hold,True,17,Inflation Rate,macro,0.0017857670281955507,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2623,2023-02-16,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.0013020720787608297,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2623,2023-02-16,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.0009745306761033135,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2623,2023-02-16,Hold,Hold,True,3,EMA,technical,0.0005996614409014001,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2623,2023-02-16,Hold,Hold,True,7,CCI,technical,0.0005674777894000727,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2623,2023-02-16,Hold,Hold,True,2,SMA,technical,0.00047566625319177546,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2623,2023-02-16,Hold,Hold,True,15,Oil,macro,0.0004613671994775359,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2623,2023-02-16,Hold,Hold,True,4,WMA,technical,0.00041311046516057104,Blue chip stocks,JFC
Blue chip stocks:JFC,BCV-PU,loocv_undersampled_ratio2.0,2623,2023-02-16,Hold,Hold,True,6,TripleEMA,technical,0.0004123858736420516,Blue chip stocks,JFC
