asset,scheme,scheme_id,sample_index,date,pred_class_name,true_class_name,correct,row_index,row_name,row_type,mean_abs_shap,group,symbol
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.015502168063540012,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.014178099067066796,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,1,WilliamsR,technical,0.009508389774964598,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,17,Inflation Rate,macro,0.008666117999018752,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,15,Oil,macro,0.0072570548043586315,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,7,CCI,technical,0.0061483348179535826,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,2,SMA,technical,0.005630244504027359,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,16,Gold,macro,0.005498680642631371,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,3,EMA,technical,0.005158514315553475,Blue chip stocks,AC
Blue chip stocks:AC,BCV-PU,loocv_undersampled_ratio2.0,2697,2023-06-07,Hold,Hold,True,8,CMO,technical,0.004843188333325088,Blue chip stocks,AC
