class_name,row_index,row_name,row_type,mean_abs_shap
Buy,0,RSI,technical,0.015355601501586685
Buy,1,WilliamsR,technical,0.035746785816337855
Buy,2,SMA,technical,0.01635193369108871
Buy,3,EMA,technical,0.015601381772469836
Buy,4,WMA,technical,0.012672589704171741
Buy,5,HMA,technical,0.018187438196716813
Buy,6,TripleEMA,technical,0.04200466788386641
Buy,7,CCI,technical,0.04710572268021072
Buy,8,CMO,technical,0.028288742134504902
Buy,9,MACD,technical,0.007263485471298546
Buy,10,PPO,technical,0.003874641230455988
Buy,11,ROC,technical,0.0020038925121717926
Buy,12,CMFI,technical,0.011179892524895652
Buy,13,DMI,technical,0.012829572734091056
Buy,14,PSI,technical,0.012549166917319781
Buy,15,Oil,macro,0.016129493351391678
Buy,16,Gold,macro,0.013744223914888304
Buy,17,Inflation Rate,macro,0.010708284325025186
Buy,18,Purchasing Power of Peso,macro,0.020236625881852155
Buy,19,Reverse Repurchase Rate (RRP),macro,0.015358195214336472
Hold,0,RSI,technical,0.0054876835708328525
Hold,1,WilliamsR,technical,0.01632352730119237
Hold,2,SMA,technical,0.008756497892575982
Hold,3,EMA,technical,0.009035643845201377
Hold,4,WMA,technical,0.009363602985519795
Hold,5,HMA,technical,0.009981247327335345
Hold,6,TripleEMA,technical,0.01769385405926603
Hold,7,CCI,technical,0.017414228683966637
Hold,8,CMO,technical,0.01721606228483173
Hold,9,MACD,technical,0.003992331035437739
Hold,10,PPO,technical,0.002396606461946362
Hold,11,ROC,technical,0.0013070423540492964
Hold,12,CMFI,technical,0.008781559119141396
Hold,13,DMI,technical,0.010693546793985051
Hold,14,PSI,technical,0.009156671026648458
Hold,15,Oil,macro,0.01346627639849885
Hold,16,Gold,macro,0.010480699904561372
Hold,17,Inflation Rate,macro,0.008160365596124089
Hold,18,Purchasing Power of Peso,macro,0.01563895184166692
Hold,19,Reverse Repurchase Rate (RRP),macro,0.01248370191934176
Sell,0,RSI,technical,0.013338313572266997
Sell,1,WilliamsR,technical,0.034040863702893304
Sell,2,SMA,technical,0.013786464892973527
Sell,3,EMA,technical,0.014427061440544548
Sell,4,WMA,technical,0.013856545612991053
Sell,5,HMA,technical,0.015094646239668158
Sell,6,TripleEMA,technical,0.036299263487826465
Sell,7,CCI,technical,0.03869984229801541
Sell,8,CMO,technical,0.02431226738189442
Sell,9,MACD,technical,0.006386022845284364
Sell,10,PPO,technical,0.00312563939992098
Sell,11,ROC,technical,0.0013615563871763924
Sell,12,CMFI,technical,0.00958199024875095
Sell,13,DMI,technical,0.010600471773433734
Sell,14,PSI,technical,0.010921655049023307
Sell,15,Oil,macro,0.014371429382561965
Sell,16,Gold,macro,0.01274018032671942
Sell,17,Inflation Rate,macro,0.011161707588267594
Sell,18,Purchasing Power of Peso,macro,0.021122242811936757
Sell,19,Reverse Repurchase Rate (RRP),macro,0.01824682396478541
