asset,scheme,scheme_id,sample_index,date,pred_class_name,true_class_name,correct,row_index,row_name,row_type,mean_abs_shap,group,symbol
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,7,CCI,technical,0.05482731854572194,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,1,WilliamsR,technical,0.021263272000942378,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,17,Inflation Rate,macro,0.020165395369986072,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,16,Gold,macro,0.019614934622950386,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.014617259640363044,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,8,CMO,technical,0.014049736800370739,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.012936364929191767,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,14,PSI,technical,0.011833368561929092,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,0,RSI,technical,0.011818907654378564,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,15,Oil,macro,0.007971186278155074,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,13,DMI,technical,0.006636972466367297,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,6,TripleEMA,technical,0.004896566649404121,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,12,CMFI,technical,0.004293155373306945,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,2,SMA,technical,0.0034996514885278886,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,3,EMA,technical,0.0034038655691801976,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,4,WMA,technical,0.003366502930293791,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,10,PPO,technical,0.003131933712575119,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,5,HMA,technical,0.002878602864439017,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,9,MACD,technical,0.0015974906698829727,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2349,2023-01-29,Hold,Hold,True,11,ROC,technical,0.001577964132593479,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2374,2023-02-23,Hold,Hold,True,17,Inflation Rate,macro,0.018547228863462807,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2374,2023-02-23,Hold,Hold,True,1,WilliamsR,technical,0.013881151808891445,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2374,2023-02-23,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.013524064570083283,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2374,2023-02-23,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.013022163206915138,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2374,2023-02-23,Hold,Hold,True,15,Oil,macro,0.012047936319140718,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2374,2023-02-23,Hold,Hold,True,16,Gold,macro,0.009680459925584728,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2374,2023-02-23,Hold,Hold,True,14,PSI,technical,0.009141883371921723,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2374,2023-02-23,Hold,Hold,True,7,CCI,technical,0.008714871706615668,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2374,2023-02-23,Hold,Hold,True,8,CMO,technical,0.007675674284109845,Crypto,LTC
Crypto:LTC,BCV-PU,loocv_undersampled_ratio2.0,2374,2023-02-23,Hold,Hold,True,13,DMI,technical,0.007342567092564423,Crypto,LTC
