asset,scheme,scheme_id,sample_index,date,pred_class_name,true_class_name,correct,row_index,row_name,row_type,mean_abs_shap,group,symbol
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,17,Inflation Rate,macro,0.024265708430903032,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,7,CCI,technical,0.02007856876025471,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.01827289257344091,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,16,Gold,macro,0.017281976088997907,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,13,DMI,technical,0.016295879494282416,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.015365628877771088,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,1,WilliamsR,technical,0.014989568639430217,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,15,Oil,macro,0.014821708609815687,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,12,CMFI,technical,0.013649595028255135,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,8,CMO,technical,0.011153623526115552,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,14,PSI,technical,0.005036948329507141,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,6,TripleEMA,technical,0.004681917116977274,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,3,EMA,technical,0.002880675312917447,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,4,WMA,technical,0.002535636052925838,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,2,SMA,technical,0.0024154181912308557,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,5,HMA,technical,0.0023237788351252674,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,10,PPO,technical,0.0020923821663018315,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,0,RSI,technical,0.002081894010370888,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,9,MACD,technical,0.0009709822945296765,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2734,2023-03-10,Hold,Hold,True,11,ROC,technical,0.0008774656445893925,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.022510390781098975,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,8,CMO,technical,0.021272153325844555,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,1,WilliamsR,technical,0.01768585968820844,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,16,Gold,macro,0.017041908921964933,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,15,Oil,macro,0.01589922986458987,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,17,Inflation Rate,macro,0.015682905588619178,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.013835452676721616,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,14,PSI,technical,0.012292331128264777,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,13,DMI,technical,0.010662942711496726,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,7,CCI,technical,0.010282539266336243,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,6,TripleEMA,technical,0.00846877288131509,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,10,PPO,technical,0.006706693454907509,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,0,RSI,technical,0.005142590649847989,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,12,CMFI,technical,0.005141382684814744,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,4,WMA,technical,0.0034697441580419765,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,5,HMA,technical,0.003068910739966668,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,3,EMA,technical,0.0029313802977583236,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,2,SMA,technical,0.002491154659219319,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,9,MACD,technical,0.002359991907314907,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2763,2023-04-08,Hold,Hold,True,11,ROC,technical,0.0016997298091155244,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,16,Gold,macro,0.03161543413589243,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,14,PSI,technical,0.02526979248796124,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,12,CMFI,technical,0.020228414339362642,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,15,Oil,macro,0.019705912902281852,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,8,CMO,technical,0.019229754351545125,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.018893997016130017,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,13,DMI,technical,0.018384273296396712,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.017851254693232475,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,17,Inflation Rate,macro,0.014116351952543483,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,1,WilliamsR,technical,0.008380037490860559,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,2810,2023-05-25,Hold,Hold,True,7,CCI,technical,0.00823854302871041,Crypto,XRP
