asset,scheme,scheme_id,class_name,row_index,row_name,row_type,mean_abs_shap,group,symbol
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,0,RSI,technical,0.011817408607723791,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,1,WilliamsR,technical,0.03769599306241389,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,2,SMA,technical,0.006702097883808165,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,3,EMA,technical,0.0062888917923328335,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,4,WMA,technical,0.007126389959911704,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,5,HMA,technical,0.006265134616741079,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,6,TripleEMA,technical,0.0186335632661212,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,7,CCI,technical,0.04270002760942816,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,8,CMO,technical,0.026084222102858802,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,9,MACD,technical,0.0015477659256174549,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,10,PPO,technical,0.002787993448771431,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,11,ROC,technical,0.0011483246767835453,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,12,CMFI,technical,0.012437618087324156,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,13,DMI,technical,0.012240581995333743,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,14,PSI,technical,0.010632762316699882,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,15,Oil,macro,0.01689022703532828,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,16,Gold,macro,0.018563407228257348,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,17,Inflation Rate,macro,0.010194721140742331,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,18,Purchasing Power of Peso,macro,0.026589596600992988,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Sell,19,Reverse Repurchase Rate (RRP),macro,0.017944050215592144,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Hold,0,RSI,technical,0.0039430698890896565,Crypto,XRP
Crypto:XRP,BCV-PU,loocv_undersampled_ratio2.0,Hold,1,WilliamsR,technical,0.016527257589782494,Crypto,XRP
