row_index,row_name,row_type,mean_abs_shap
1,WilliamsR,technical,0.016546744114740254
6,TripleEMA,technical,0.012652212967893395
7,CCI,technical,0.010174709238822193
18,Purchasing Power of Peso,macro,0.009250294401069444
2,SMA,technical,0.007867520574871728
8,CMO,technical,0.007822851031487232
12,CMFI,technical,0.007705686925122185
3,EMA,technical,0.007270007585975691
5,HMA,technical,0.007209526757630253
4,WMA,technical,0.0071765490700350185
19,Reverse Repurchase Rate (RRP),macro,0.007138316499489197
15,Oil,macro,0.005259104617743778
14,PSI,technical,0.004681618190868828
0,RSI,technical,0.004295850578026451
13,DMI,technical,0.004174063694923309
17,Inflation Rate,macro,0.004170976115964322
16,Gold,macro,0.003839668307661365
10,PPO,technical,0.0028469889161706874
11,ROC,technical,0.0021379088389113575
9,MACD,technical,0.0014170453358258327
