class_name,row_index,row_name,row_type,mean_abs_shap
Buy,0,RSI,technical,0.012390753580395994
Buy,1,WilliamsR,technical,0.043284679811756786
Buy,2,SMA,technical,0.01901354390784036
Buy,3,EMA,technical,0.016958422165729035
Buy,4,WMA,technical,0.01889961716805234
Buy,5,HMA,technical,0.0185043100276107
Buy,6,TripleEMA,technical,0.0327938673664183
Buy,7,CCI,technical,0.02469039128988697
Buy,8,CMO,technical,0.020346479692968465
Buy,9,MACD,technical,0.0034485637568207987
Buy,10,PPO,technical,0.0072139205931315105
Buy,11,ROC,technical,0.005128457487366328
Buy,12,CMFI,technical,0.01737914203795905
Buy,13,DMI,technical,0.008682268864022262
Buy,14,PSI,technical,0.008890200386954346
Buy,15,Oil,macro,0.00904471649371639
Buy,16,Gold,macro,0.006343006009355273
Buy,17,Inflation Rate,macro,0.0073556408220648946
Buy,18,Purchasing Power of Peso,macro,0.017910676169226463
Buy,19,Reverse Repurchase Rate (RRP),macro,0.015033191733474874
Hold,0,RSI,technical,0.0024376968244746423
Hold,1,WilliamsR,technical,0.009548934160782967
Hold,2,SMA,technical,0.005888301592785534
Hold,3,EMA,technical,0.005389129150871668
Hold,4,WMA,technical,0.0052478964786088975
Hold,5,HMA,technical,0.005729821344963662
Hold,6,TripleEMA,technical,0.010025037638181024
Hold,7,CCI,technical,0.00611995418506306
Hold,8,CMO,technical,0.0056008112128193
Hold,9,MACD,technical,0.0010958819846485332
Hold,10,PPO,technical,0.0020761123017116272
Hold,11,ROC,technical,0.0017114243630133314
Hold,12,CMFI,technical,0.006384655034127984
Hold,13,DMI,technical,0.0034510095440577968
Hold,14,PSI,technical,0.003818904618096516
Hold,15,Oil,macro,0.004701437290620257
Hold,16,Gold,macro,0.0032750328590221522
Hold,17,Inflation Rate,macro,0.003806300007600309
Hold,18,Purchasing Power of Peso,macro,0.008119309164707905
Hold,19,Reverse Repurchase Rate (RRP),macro,0.005901612317417839
Sell,0,RSI,technical,0.01026542376993272
Sell,1,WilliamsR,technical,0.03727569369517899
Sell,2,SMA,technical,0.017087663189283075
Sell,3,EMA,technical,0.014893423814662582
Sell,4,WMA,technical,0.016805844051166474
Sell,5,HMA,technical,0.016306032899430344
Sell,6,TripleEMA,technical,0.0284854443077226
Sell,7,CCI,technical,0.02217840256570715
Sell,8,CMO,technical,0.01896936265319577
Sell,9,MACD,technical,0.002978233422728446
Sell,10,PPO,technical,0.005599306567974811
Sell,11,ROC,technical,0.004327809399888262
Sell,12,CMFI,technical,0.01881593158345822
Sell,13,DMI,technical,0.008472396868470846
Sell,14,PSI,technical,0.008891290768801808
Sell,15,Oil,macro,0.009882332050288671
Sell,16,Gold,macro,0.006350223335063844
Sell,17,Inflation Rate,macro,0.007622402400691802
Sell,18,Purchasing Power of Peso,macro,0.01596212406030645
Sell,19,Reverse Repurchase Rate (RRP),macro,0.013248518152297115
