asset,scheme,scheme_id,sample_index,date,pred_class_name,true_class_name,correct,row_index,row_name,row_type,mean_abs_shap,group,symbol
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,6,TripleEMA,technical,0.010943165698699886,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,18,Purchasing Power of Peso,macro,0.0092645849857945,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,17,Inflation Rate,macro,0.009007139901223126,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,2,SMA,technical,0.009002850390970707,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,5,HMA,technical,0.00830371953343274,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,4,WMA,technical,0.00797996319961385,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,1,WilliamsR,technical,0.007942289489619725,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,3,EMA,technical,0.007936589902965353,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,7,CCI,technical,0.007713787341708666,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,12,CMFI,technical,0.00731610389780144,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,8,CMO,technical,0.005393696668033954,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,19,Reverse Repurchase Rate (RRP),macro,0.005354878681828268,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,13,DMI,technical,0.004803230064499076,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,15,Oil,macro,0.0046997899808047805,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,16,Gold,macro,0.004249168402748182,PennyStocks,PHR
PennyStocks:PHR,BCV-PU,loocv_undersampled_ratio2.0,2046,2023-01-16,Hold,Hold,True,14,PSI,technical,0.003507626516511664,PennyStocks,PHR
